<Hash=0xB412CAF>	One of us... One of us...
<Hash=0x96827490>	What... you didn't like the joke? Well boo-hoo! It's not offensive to normies, it's just a joke. Jackson, you think it's a funny joke right... you know, being half normie and that?
<Hash=0xA4828A9A>	Pffft!! You guys obviously just don't get it. You know what, I'm out of here.
<Hash=0xF9390DFF>	What's this?
<Hash=0x8BD39F2C>	Yes! I swear. Where is this coming from?
<Hash=0xFB391125>	Er, OK sure...
<Hash=0x8DD5E0E9>	Meowlody left that note? Haha!
<Hash=0x97D5F0A7>	What? It's not like I would leave you for her. It's just nice to know someone thinks about me like that.
<Hash=0x85C48B30>	Oh I know you do, and I like that too. But look, I think I can resist Meowlody's charms. And, I'd really like for you to trust me.
<Hash=0xF53907B3>	I have no idea!
<Hash=0xF7390AD9>	Huh? Why are you getting upset with me?
<Hash=0x1391A97>	What just happened? Could you go in there and check on her? I would, but uh... that's the ghouls' bathroom.
<Hash=0x6C35AD2A>	A little healthy competition can be a good thing. It pushes monsters to strive for more. I just hope everyone keeps their cool.
<Hash=0x979881B6>	What was your inspiration, Skelita?
<Hash=0x9B988802>	You know, this one I am not so sure about.
<Hash=0x999AC373>	Sorry for all the drama today. We're a colorful bunch, but that's what makes us so passionate about our art.
<Hash=0x8B2E74F>	Come on, let's get this show on the road.
<Hash=0x9444239B>	Oh please, do you remember when Slomo's remix came out?
<Hash=0x964426C1>	Yes, but does that mean you dislike Slomo?
<Hash=0x9A442D0D>	We're sorry too. We never meant to hurt your feelings.
<Hash=0x64B92D6>	I had no idea Fashion Club would be so intense! I thought we'd just be talking about shoes.
<Hash=0xCDC08D24>	Fangtastic!
<Hash=0xBAB9B376>	Don't fret... I think you've got what it takes!
<Hash=0x320309B2>	What's the next item on the list?
<Hash=0x456CF0AA>	We'll help you fix it Skelita.
<Hash=0x426CEBF1>	Why <name>?
<Hash=0xD17ADD4B>	I cannot boolieve this. Such a monstrous setback.
<Hash=0x3D6AA57B>	I met up with Lorna in the south hall and we decided to visit the Study Howl.
<Hash=0xACF0C664>	... Alright... I did it.
<Hash=0x416AABC7>	It was a huge and total accident!
<Hash=0x376A9C09>	<sigh>	OK... So I came to the Clawditorium at lunch to work on designing my own dress, when I saw something move out the corner of my eye.
<Hash=0x366A9A76>	I got scared and took a couple of steps backward... But then, my feet got snagged on some fabric. I began to fall, so I reached out to grab at something.. You know, to keep me stable. And well.... That something just happened to be your dress... I'm so sorry Skelita.
<Hash=0xBA6798AB>	You're not upset with me?
<Hash=0xBC679BD1>	I'll help... I feel awful.
<Hash=0xB2678C13>	Wow, I really thought they were going to chew me up for that mistake! I'm so lucky to have such fangtastic friends.
<Hash=0xCB7AD3D9>	It could have been anyone.
<Hash=0xF0802F7A>	His music may be totally hot right now, but Holt is one cool dude. I'm sure he'd be okay if we used his song.
<Hash=0x55830D10>	Holt is on fire lately. I'm thrilld to have him as part of the show.
<Hash=0xD7912236>	Well, if the hottest fashion designer in the world wants to use the song when why shouldn't we?
<Hash=0x48EF2F46>	Oh wow, you guys that was freaky-fierce!
<Hash=0xD9F6CF4E>	Well that was freaky-fab! I can't wait for the next one.
<Hash=0xFB08329B>	I'd help out, but these feet in those shoes? Not happening.
<Hash=0x6671193A>	You know... I'm just not sure that it is.
<Hash=0x4D0A692B>	I can't wait to see what trouble we can scratch up next.
<Hash=0x8395AFF2>	I can't explain it but, I'm mesmerized by these colors.
<Hash=0x7D95A680>	I know what you mean, like... Where can I wear this?
<Hash=0x7B9364C3>	Seriously. It's just a fashion show.
<Hash=0x80936CA2>	Once, she melted a piece of art she was working on.
<Hash=0xC4D5D795>	Flattery always gets a werecat everywhere.
<Hash=0xC8D5DDE1>	I have a feeling our new ghoulfriend here would make the purrrfect model.
<Hash=0xC5E5D10C>	Maybe all it needs is some yarn...
<Hash=0x55DE64F7>	Seriously though, I'm getting cat scratch fever thanks to this debate debacle. Can we please move on?
<Hash=0xB4FCB5D9>	What... you're not talking to us?
<Hash=0x1584E240>	Finally, <name>, what took you so long?
<Hash=0x513077E3>	Rumor has it the kitchen is a mess these days.
<Hash=0x63374FFE>	Don't play too many cat and mouse games. We don't have that much time.
<Hash=0x1784E566>	There are still a lot of details we need to scratch out.
<Hash=0x1984E88C>	Has anyone thought about how we'll seat the audience.
<Hash=0xBB63876B>	How do you suggest we go about doing that?
<Hash=0x43669C1A>	Let's see, I pried open my locker to put my books away. Then Purrsephone and I went to the level 2 hallway to meet up with Toralei.
<Hash=0x797D9C31>	It sounds like something I might do... but not this time.
<Hash=0x2F6AF9CC>	Time to move on from this cat-astrophe.
<Hash=0x966F71DA>	Is it possible the monster responsible is in this room?
<Hash=0x9F7BC2A>	I'm telling you... It's the right music to play!
<Hash=0xC9FD1B5B>	Think you can handle another Fashion Club emergency, <name>? Ask Holt if we can use Slomix for the runway show.
<Hash=0x1780BAC4>	Hurry ghoul, we don't have much time.
<Hash=0x1A80BF7D>	Alright, come back if you find the time.
<Hash=0xC1FAD02C>	I don't know why everyone was so worried.
<Hash=0x3F7B2B8>	Exactly! This is a no-brainer.
<Hash=0x88FE4F5C>	I've never heard of a Robot model before.
<Hash=0x86FE4C36>	The snacks, the music, the model... I've gotta admit, even I had fun.
<Hash=0x1AF6E66D>	I guess we owe you a little thanks, <name>.
<Hash=0xFF6D51C>	See you next time, ghoul.
<Hash=0xE31E7639>	Chop, chop, Fashion Club. There are people waiting out there!
<Hash=0xE5DFCFEB>	Hey Iris, I just saw what happened. Are you alright?
<Hash=0xE7DFD311>	You know... there's a way we could test the note to find out which ghoul put it in Manny's locker.
<Hash=0xE9DFD637>	Just come with me to the Mad Science room and we'll run a couple of tests.
<Hash=0x563DD206>	Listen to your heart instead, Iris. You need to find out.
<Hash=0x56E73D93>	Well, we know for sure that it's a werecat, but this test is going to tell us exactly which one.
<Hash=0x55E73C00>	<gasp>... The results say that the note was left there by Catty Noir!
<Hash=0x57E73F26>	I think you should talk to Manny about this, get his side of the story.
<Hash=0x9D42CAE7>	Furrrocious! I wonder what it says about <name>'s flaws?
<Hash=0x701A3AA1>	Creeperific! I can already imagine a hero with the balance of a tight rope-walking werecat.
<Hash=0xA4A3243>	It sure does! <heroname>	is a scary-awesome name for our hero.
<Hash=0x651A2950>	Yeah I did. Hm... I guess it's probably because of my two left zombie feet! It makes perfect sense! Wow Ghoulia, you really know comic books!
<Hash=0xCAA25D96>	Whoaa! Ghoulia, that's amazing! Can we see the outfit?
<Hash=0xD0A26708>	How are we going to spread the word?
<Hash=0x9C6A61BD>	Thanks, but a book signing needs a grave amount of work too... I mean, we should get some art to hang up, and of course we need to get the word out.
<Hash=0xF1F27CD3>	I can't wait to write the sequel! <heroname>: The Return of Zam!
<Hash=0xF7F28645>	It's the <heroname>'s new villain! Zam from the portal of apocalypse! He controls which direction time flows!
<Hash=0x99BA4858>	Looking at the evidence the New Ghoul was pretty sure that Spectra was the one who triggered the fire alarm. But what was with the memory loss? Did she hit her head?
<Hash=0x456B7FC>	Great idea!
<Hash=0x756BCB5>	That's risky!
<Hash=0x832C2E3A>	Yeah!
<Hash=0x822C2CA7>	No way!
<Hash=0x70F8FCC7>	No trouble.
<Hash=0x71F8FE5A>	One of us...
<Hash=0x9738A8A9>	Yep!
<Hash=0x9438A3F0>	Nope
<Hash=0x32AD7A52>	Sure!
<Hash=0x31AD78BF>	No way!
<Hash=0xE88690FF>	Council Money
<Hash=0xE9869292>	Sell our iCoffins?
<Hash=0x807ACDDD>	You got it, ghoul!
<Hash=0x7D7AC924>	I'm busy.
<Hash=0x9EB55BD4>	Comic Book Club
<Hash=0x9883EE01>	Couldn't you learn?
<Hash=0x9583E948>	Ghoulia?
<Hash=0x9FF5CB4F>	Super Speed
<Hash=0xA0F5CCE2>	Super Intelligent
<Hash=0xABFA5B61>	Wits!
<Hash=0xA8FA56A8>	Fists!
<Hash=0xA9FA583B>	Laser Eyes!
<Hash=0xAEFA601A>	Mind Reading!
<Hash=0x2A4A414A>	<heroname>
<Hash=0xDCC3A5AF>	Of course, ghoul!
<Hash=0xDDC3A742>	Not right now.
<Hash=0x1193E631>	Tell them!
<Hash=0xE93E178>	I gotta run.
<Hash=0xEF304287>	Smells good!
<Hash=0xF030441A>	Can I help?
<Hash=0x7BA2693F>	On it!
<Hash=0x7CA26AD2>	Maybe, next time
<Hash=0x1F2A0B9D>	Oh no!
<Hash=0x1C2A06E4>	Bummer!
<Hash=0x44BD8666>	Fashion Club Treats
<Hash=0x43BD84D3>	Nothing much.
<Hash=0x5CD3727D>	Sure!
<Hash=0x59D36DC4>	Nope.
<Hash=0xB99F836>	The Robot?
<Hash=0xA99F6A3>	How can I help?
<Hash=0xC0ED4D90>	You're welcome.
<Hash=0xC3ED5249>	It was <robotname>!
<Hash=0x361576C2>	Sweet Treats!
<Hash=0x3515752F>	I just saw Jinafire!
<Hash=0x8BA07F21>	Lagoona!
<Hash=0x88A07A68>	Someone else!
<Hash=0x6D0DA9B6>	Yes. Sign me up!
<Hash=0x734E29A4>	Call out!
<Hash=0x764E2E5D>	Stay quiet
<Hash=0xF6BE3BB8>	Hello! Anybody there?
<Hash=0xDB192FE6>	Don't raise hand
<Hash=0xDA192E53>	Raise Hand
<Hash=0xF203D87>	This is scary!
<Hash=0x10203F1A>	This is crazy!
<Hash=0x26FF3E15>	Find allies!
<Hash=0x23FF395C>	Ghoulia!
<Hash=0x9BD432B5>	She's cursed too!
<Hash=0xECD6F0CF>	Ghoulia's research
<Hash=0xEDD6F262>	Egyptian Curse!
<Hash=0x824E796F>	Nope.
<Hash=0x834E7B02>	Talk to Students!
<Hash=0x8241AD7C>	Raise Hand
<Hash=0x8541B235>	Don't Raise Hand
<Hash=0xA75D77C9>	I got nothing
<Hash=0xA45D7310>	Bake Sale?
<Hash=0xAF6ECD82>	Raise Hand
<Hash=0xAE6ECBEF>	Don't Raise Hand
<Hash=0x3010CEEA>	Stay quiet
<Hash=0x2F10CD57>	Call out
<Hash=0xC86F6871>	Cooking Club?
<Hash=0xC56F63B8>	No idea!
<Hash=0xD4672C90>	Yeah, OK!
<Hash=0xD7673149>	Nah, I'm too busy!
<Hash=0x371E8A5A>	Spot on!
<Hash=0x361E88C7>	Way off!
<Hash=0x322B5AC>	Yep.
<Hash=0x622BA65>	No way!
<Hash=0x50A1B0DA>	Yeah, OK.
<Hash=0x4FA1AF47>	No way!
<Hash=0x3C3FDD42>	Sure, I'll do it!
<Hash=0x2F84F2C7>	It's great!
<Hash=0x3084F45A>	Kinda strange!
<Hash=0x1A10944E>	Nailed it.
<Hash=0x191092BB>	Not even close.
<Hash=0xB6F68681>	Double it!
<Hash=0xF399BC07>	Sure, I'm on it!
<Hash=0xD8E572E6>	That's it.
<Hash=0xD7E57153>	Yeah, right!
<Hash=0x28DBC723>	I don't think so!
<Hash=0x29DBC8B6>	Sure!
<Hash=0x47F61A68>	Maybe.
<Hash=0x4AF61F21>	Not really.
<Hash=0x8E659973>	Thanks for the help.
<Hash=0x5012A914>	OK, let's go then!
<Hash=0x5312ADCD>	I dunno
<Hash=0x9F67F2CD>	Yes. Sign me up!
<Hash=0xCB683811>	Yes, it's my first day.
<Hash=0xC8683358>	Nope.
<Hash=0x805A6CB8>	Nah, I was only kidding.
<Hash=0xF3511DBA>	Yes, please.
<Hash=0xF2511C27>	No, thanks.
<Hash=0x53B11853>	Sure thing, ghoul.
<Hash=0x54B119E6>	Sorry, I'm busy.
<Hash=0x77C05B89>	Iris!
<Hash=0x74C056D0>	Gilda!
<Hash=0xE48C5262>	Sure
<Hash=0xE38C50CF>	Not today.
<Hash=0x38B4C41A>	Pollen Persuasion!
<Hash=0xECC237DC>	Yes
<Hash=0xEFC23C95>	No
<Hash=0xF0B57235>	Apple Green
<Hash=0xEDB56D7C>	Midnight Blue
<Hash=0x61514B39>	I like it.
<Hash=0x5E514680>	It wasn't my style.
<Hash=0x7D426CC3>	Improve it?
<Hash=0x7E426E56>	Can't be perfect
<Hash=0x9234673>	Me!
<Hash=0x5C8AFA25>	Of course!
<Hash=0x598AF56C>	Not today.
<Hash=0x4C3737A4>	Cooking Club!
<Hash=0x4F373C5D>	Not sure.
<Hash=0x85C47067>	That's all.
<Hash=0x86C471FA>	It was you!
<Hash=0x3CD93424>	I'm on it!
<Hash=0x3FD938DD>	I'd rather not today
<Hash=0xC14C1E87>	Fashion Club
<Hash=0x65724E93>	OK, I'll do it.
<Hash=0x66725026>	Robot?
<Hash=0x1DA8A5AC>	Be a model!
<Hash=0x4EB7FD59>	OK, I'll face my fear!
<Hash=0x4BB7F8A0>	I have stage fright!
<Hash=0x4F16692C>	New Captain?
<Hash=0x52166DE5>	Work harder?
<Hash=0x47051373>	Yes!
<Hash=0x48051506>	Not yet!
<Hash=0x66CB57E2>	Talk to Ghoulia!
<Hash=0x65CB564F>	I don't know
<Hash=0x642DEBDB>	Yep, ready!
<Hash=0x652DED6E>	Not ready!
<Hash=0x4B69D2B1>	Sure!
<Hash=0x4869CDF8>	I dunno.
<Hash=0x5942E785>	Sounds great!
<Hash=0x5642E2CC>	Crazy plan!
<Hash=0x39BB0684>	Lagoona and Catty!
<Hash=0x3CBB0B3D>	Meeting at the Library!
<Hash=0xA86DA389>	The Fire Alarm.
<Hash=0xA56D9ED0>	I don't know!
<Hash=0x61F57FC7>	Yes!
<Hash=0x62F5815A>	Not yet!
<Hash=0x78DFC73A>	Yes!
<Hash=0x77DFC5A7>	I don't know
<Hash=0xFC111F1>	Yes I do, but..
<Hash=0x29BE7B64>	Of course.
<Hash=0x2CBE801D>	I'll try...
<Hash=0xC7DB0569>	Yes!
<Hash=0xC4DB00B0>	Not yet!
<Hash=0xAFD1E545>	She doesn't remember.
<Hash=0xACD1E08C>	Practice without her.
<Hash=0x790F4D0A>	With Spectra
<Hash=0x780F4B77>	At the Council!
<Hash=0x62D25095>	Chatting with Spectra.
<Hash=0x911A002E>	She ran away!
<Hash=0x9019FE9B>	That was it.
<Hash=0xB7028639>	OK! Sure...
<Hash=0xB4028180>	But, I hardly know her
<Hash=0xB6F74D46>	Cleo's Amulet!
<Hash=0xB5F74BB3>	No idea!
<Hash=0x1F7E483F>	OK! You've convinced me.
<Hash=0xD9CE04C9>	Cleo's changed!
<Hash=0xD6CE0010>	The Amulet!
<Hash=0x7271FEF5>	She needs time
<Hash=0x6F71FA3C>	She's pretty upset
